date,away,home,away_spread,home_spread,total_line,away_score,home_score,away_offrtg,away_defrtg,away_reb_percent,away_tov_percent,away_ts_percent,away_pace,away_pie,home_offrtg,home_defrtg,home_reb_percent,home_tov_percent,home_ts_percent,home_pace,home_pie
20241125,raptors,pistons,5.5,-5.5,222.5,100,102,109.8,115.1,51.2,15.8,54.1,97.83,46.6,111.6,111.5,50.3,15.0,55.7,98.23,49.5
20241125,pelicans,pacers,6.5,-6.5,226.5,110,114,104.6,120.0,48.8,15.8,52.5,95.7,42.6,111.3,115.0,47.3,14.4,58.5,100.4,48.9
20241125,mavericks,hawks,3.5,-3.5,237.5,129,119,117.5,110.6,51.9,14.0,59.0,99.86,53.1,107.6,114.2,51.4,15.3,54.0,105.0,47.6
20241125,clippers,celtics,9.5,-9.5,217.5,94,126,111.0,106.1,52.9,17.1,57.7,99.15,52.0,119.1,111.3,48.0,12.1,59.6,96.34,53.0
20241125,blazers,grizzlies,9.5,-9.5,231.5,98,123,104.1,110.8,49.1,18.9,53.3,100.75,44.3,116.4,107.8,53.4,16.6,58.5,103.9,55.2
20241125,knicks,nuggets,4.5,-4.5,232.5,145,118,122.0,116.7,52.2,12.6,61.9,98.35,53.8,115.6,110.1,51.6,15.2,60.0,102.4,53.6
20241125,nets,warriors,12.5,-12.5,223.5,128,120,114.1,118.8,46.5,15.1,59.0,93.87,46.1,112.8,109.4,51.1,14.0,55.9,102.5,51.4
20241125,thunder,kings,-4.5,4.5,223.5,130,109,113.5,107.4,45.9,11.8,56.6,100.05,53.2,112.4,112.9,51.3,14.3,58.1,97.22,50.7
20241126,bulls,wizards,-4.5,4.5,244.5,127,108,116.9,122.7,47.7,15.2,61.2,103.65,47.4,103.5,119.8,47.7,15.9,54.0,102.45,41.2
20241126,bucks,heat,2.5,-2.5,222.5,106,103,114.3,109.8,48.6,13.4,59.0,98.57,52.6,112.9,110.4,50.3,12.8,56.1,98.89,49.7
20241126,rockets,timberwolves,3.5,-3.5,220.5,117,111,110.3,100.5,53.3,13.7,53.7,103.2,56.3,114.5,111.0,50.7,15.7,58.8,97.98,51.3
20241126,spurs,jazz,-2.5,2.5,226.5,128,115,113.0,111.4,48.7,14.9,59.1,100.1,52.5,115.8,118.9,52.6,17.0,60.1,99.6,48.2
20241126,lakers,suns,3.5,-3.5,233.5,100,127,117.3,118.0,45.7,12.4,59.6,98.1,50.6,113.3,119.9,50.4,13.9,57.1,96.89,46.4
20241127,heat,hornets,-3.5,3.5,218.5,98,94,112.9,112.9,49.1,12.3,56.6,97.47,49.3,107.6,111.2,52.7,16.6,54.6,97.81,47.7
20241127,hawks,cavaliers,10.5,-10.5,240.5,135,124,109.3,114.0,51.2,14.6,54.6,105.7,48.5,124.2,113.1,51.4,13.7,63.7,99.9,55.8
20241127,blazers,pacers,10.5,-10.5,232.5,114,121,100.9,112.0,48.4,18.6,51.2,101.85,41.5,110.1,114.1,47.5,14.7,57.6,101.1,48.4
20241127,bulls,magic,10.5,-10.5,224.5,119,133,116.6,119.0,48.3,14.8,61.1,104.65,48.7,112.9,100.4,50.5,14.6,56.4,94.75,57.3
20241127,rockets,76ers,-5.5,5.5,219.5,122,115,110.7,98.7,52.7,13.1,54.0,102.53,58.0,104.0,113.1,47.4,14.9,54.0,96.4,44.5
